Restaurant name,Neighborhood,Borough,Median Household Income,Neighborhood Latitude,Neighborhood Longitude,Pop./km2,Competitors,Venue Category,Venue Latitude,Venue Longitude
White Castle_0,Allerton,Bronx,37816.89473684211,40.86578787802982,-73.85931863221647,12149.0,White Castle,Fast Food Restaurant,40.86606515535944,-73.86230724183021
Li's Kitchen_1,Allerton,Bronx,37816.89473684211,40.86578787802982,-73.85931863221647,12149.0,Li's Kitchen,Chinese Restaurant,40.863566,-73.858372
Chef King_2,Allerton,Bronx,37816.89473684211,40.86578787802982,-73.85931863221647,12149.0,Chef King,Chinese Restaurant,40.865561,-73.85675211
Internacional Restaurant & Deli_3,Allerton,Bronx,37816.89473684211,40.86578787802982,-73.85931863221647,12149.0,Internacional Restaurant & Deli,Spanish Restaurant,40.86380886984126,-73.85664024369478
Il Sogno_762,Annadale,Staten Island,66764.2,40.53811417474507,-74.17854866165878,2593.0,Il Sogno,Restaurant,40.54128574967293,-74.17848946384383
Alex's Soul Food Kitchen_763,Arlington,Staten Island,66764.2,40.63532509911492,-74.16510420241123,4440.0,Alex's Soul Food Kitchen,American Restaurant,40.63518772640725,-74.16149948539467
Basilio's Inn_764,Arrochar,Staten Island,66764.2,40.596312571276734,-74.06712363225573,2326.0,Basilio's Inn,Italian Restaurant,40.59736924074418,-74.06367404509417
Italianissimo_765,Arrochar,Staten Island,66764.2,40.596312571276734,-74.06712363225573,2326.0,Italianissimo,Italian Restaurant,40.598596316938576,-74.06561913541873
Chinar on the Island_766,Arrochar,Staten Island,66764.2,40.596312571276734,-74.06712363225573,2326.0,Chinar on the Island,Middle Eastern Restaurant,40.592726,-74.067994
Seaside Turkish Restaurant_767,Arrochar,Staten Island,66764.2,40.596312571276734,-74.06712363225573,2326.0,Seaside Turkish Restaurant,Mediterranean Restaurant,40.595329176006395,-74.06306753109422
Thai Kitchen By The Sea_864,Arverne,Queens,39432.0,40.58914394372971,-73.79199233136944,4583.0,Thai Kitchen By The Sea,Thai Restaurant,40.59082253627518,-73.79670566426822
Favela Grill_865,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Favela Grill,Brazilian Restaurant,40.76734843380796,-73.91789747356819
Off The Hook_866,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Off The Hook,Seafood Restaurant,40.76720036066658,-73.91810419486981
Al-sham Sweets and Pastries_867,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Al-sham Sweets and Pastries,Middle Eastern Restaurant,40.768076961690774,-73.91156100683969
El Cafetal_868,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,El Cafetal,Mexican Restaurant,40.77015319512015,-73.91821410404256
SVL Bar_869,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,SVL Bar,Greek Restaurant,40.76981639052601,-73.91853012633574
Sabry's_870,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Sabry's,Seafood Restaurant,40.76844624846522,-73.91126714076336
Duzan_871,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Duzan,Falafel Restaurant,40.768729618804265,-73.91101346607775
AbuQir Seafood_872,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,AbuQir Seafood,Seafood Restaurant,40.768576707670604,-73.91116896112395
Ovelia Psistaria Bar_873,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Ovelia Psistaria Bar,Greek Restaurant,40.76577909596546,-73.91889019570948
Seva Indian Cuisine_874,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Seva Indian Cuisine,Indian Restaurant,40.76552091157529,-73.91915721566768
Pochana Thai Kitchen_875,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Pochana Thai Kitchen,Thai Restaurant,40.765866836189865,-73.91925648391081
Republic_876,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Republic,Italian Restaurant,40.77022923835688,-73.91469114390199
The Grand_877,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,The Grand,Mediterranean Restaurant,40.76464937398527,-73.91645981481022
Jujube Tree_878,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Jujube Tree,Vegetarian / Vegan Restaurant,40.76530893055949,-73.91816151712001
Antika Restaurant & Pizzeria_879,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Antika Restaurant & Pizzeria,Italian Restaurant,40.764903413035924,-73.91715814610242
Crave Astoria_880,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Crave Astoria,Greek Restaurant,40.76526592389782,-73.91717258584941
"Farid Kebab, Steinway_881",Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,"Farid Kebab, Steinway",Mediterranean Restaurant,40.767548,-73.91197199999999
Don Coquí Astoria_882,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Don Coquí Astoria,Latin American Restaurant,40.76807682105487,-73.92046958611157
Gyro World_883,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Gyro World,Greek Restaurant,40.76489488470981,-73.91744608778997
Kal_884,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Kal,Korean Restaurant,40.76575,-73.91871
Sugar Freak_885,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Sugar Freak,Cajun / Creole Restaurant,40.76444333720296,-73.91605469466285
Gyro Uno_886,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Gyro Uno,Greek Restaurant,40.76538015914801,-73.91367349782699
King of Falafel and Shawarma_887,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,King of Falafel and Shawarma,Middle Eastern Restaurant,40.766055,-73.919668
Halal Sandwich Shop_888,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Halal Sandwich Shop,Middle Eastern Restaurant,40.76647141520952,-73.91288020325058
Kurry Qulture_889,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Kurry Qulture,Indian Restaurant,40.76497824295583,-73.9171510586292
Blend Astoria_890,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Blend Astoria,Latin American Restaurant,40.76440209510661,-73.91575898494503
Mombar_891,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Mombar,Middle Eastern Restaurant,40.767413320131496,-73.91218107519089
Elias Corner For Fish_892,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Elias Corner For Fish,Seafood Restaurant,40.77249603316814,-73.91581513157055
Via Trenta_893,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Via Trenta,Italian Restaurant,40.76474329895629,-73.91664146607067
Queens Comfort_894,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Queens Comfort,Comfort Food Restaurant,40.76464777461987,-73.91677540472237
Kabab Café_895,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Kabab Café,Middle Eastern Restaurant,40.76776070750682,-73.91189147481663
Layali Dubai_896,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Layali Dubai,Middle Eastern Restaurant,40.76866645857328,-73.91093287522841
Pink Nori_897,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Pink Nori,Japanese Restaurant,40.764932079162676,-73.91722069971638
Sampan_898,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Sampan,Chinese Restaurant,40.764318647698566,-73.91466600127636
Matsu Sushi_899,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Matsu Sushi,Sushi Restaurant,40.76558710454389,-73.91857219992431
Aden Restaurant_900,Astoria,Queens,54882.0,40.76850859335492,-73.91565374304234,14110.0,Aden Restaurant,Middle Eastern Restaurant,40.768233,-73.91177900000001
Antonio's Kitchen_617,Astoria Heights,Queens,57813.625,40.7703173929982,-73.89467996270574,8803.967071397698,Antonio's Kitchen,Italian Restaurant,40.76815378448427,-73.89468417375875
Antonio's Pizzeria and Wine Bar!_618,Astoria Heights,Queens,57813.625,40.7703173929982,-73.89467996270574,8803.967071397698,Antonio's Pizzeria and Wine Bar!,Italian Restaurant,40.7681314963632,-73.89469886512113
Durso's Pasta & Ravioli Company_901,Auburndale,Queens,70772.0,40.761729549032616,-73.79176243728061,4658.0,Durso's Pasta & Ravioli Company,Italian Restaurant,40.7633382071267,-73.79305684939979
