Neighborhood,Borough,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Pop./km2,Median Household Income
Allerton,Bronx,40.86578787802982,-73.85931863221647,White Castle,40.86606515535944,-73.86230724183021,Fast Food Restaurant,12149.0,
Allerton,Bronx,40.86578787802982,-73.85931863221647,Chef King,40.865561,-73.85675211,Chinese Restaurant,12149.0,
Allerton,Bronx,40.86578787802982,-73.85931863221647,Internacional Restaurant & Deli,40.86380886984126,-73.85664024369478,Spanish Restaurant,12149.0,
Annadale,Staten Island,40.53811417474507,-74.17854866165878,Il Sogno,40.54128574967293,-74.17848946384383,Restaurant,2593.0,
Annadale,Staten Island,40.53811417474507,-74.17854866165878,Diesel Bagels,40.54037272265205,-74.17737351638421,American Restaurant,2593.0,
Annadale,Staten Island,40.53811417474507,-74.17854866165878,Ocean Sushi,40.54129153888941,-74.17792760910376,Sushi Restaurant,2593.0,
Arrochar,Staten Island,40.596312571276734,-74.06712363225573,Basilio's Inn,40.59736924074418,-74.06367404509417,Italian Restaurant,2326.0,
Arrochar,Staten Island,40.596312571276734,-74.06712363225573,Italianissimo,40.598596316938576,-74.06561913541873,Italian Restaurant,2326.0,
Arrochar,Staten Island,40.596312571276734,-74.06712363225573,Chinar on the Island,40.592726,-74.067994,Middle Eastern Restaurant,2326.0,
Arrochar,Staten Island,40.596312571276734,-74.06712363225573,Seaside Turkish Restaurant,40.595329176006395,-74.06306753109422,Mediterranean Restaurant,2326.0,
Arverne,Queens,40.58914394372971,-73.79199233136944,Thai Kitchen By The Sea,40.59082253627518,-73.79670566426822,Thai Restaurant,4583.0,39432.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Favela Grill,40.76734843380796,-73.91789747356819,Brazilian Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Off The Hook,40.76720036066658,-73.91810419486981,Seafood Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Al-sham Sweets and Pastries,40.768076961690774,-73.91156100683969,Middle Eastern Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,El Cafetal,40.77015319512015,-73.91821410404256,Mexican Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Sabry's,40.76844624846522,-73.91126714076336,Seafood Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Duzan,40.768729618804265,-73.91101346607775,Falafel Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,SVL Bar,40.76981639052601,-73.91853012633574,Greek Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,AbuQir Seafood,40.768576707670604,-73.91116896112395,Seafood Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Seva Indian Cuisine,40.76552091157529,-73.91915721566768,Indian Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Pochana Thai Kitchen,40.765866836189865,-73.91925648391081,Thai Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Ovelia Psistaria Bar,40.76577909596546,-73.91889019570948,Greek Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Jujube Tree,40.76530893055949,-73.91816151712001,Vegetarian / Vegan Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Crave Astoria,40.76526592389782,-73.91717258584941,Greek Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,The Grand,40.76464937398527,-73.91645981481022,Mediterranean Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Kal,40.76575,-73.91871,Korean Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Antika Restaurant & Pizzeria,40.764903413035924,-73.91715814610242,Italian Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,"Farid Kebab, Steinway",40.767548,-73.91197199999999,Mediterranean Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Don Coquí Astoria,40.76807682105487,-73.92046958611157,Latin American Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Gyro World,40.76489488470981,-73.91744608778997,Greek Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Sugar Freak,40.76444333720296,-73.91605469466285,Cajun / Creole Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Gyro Uno,40.76538015914801,-73.91367349782699,Greek Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Halal Sandwich Shop,40.76647141520952,-73.91288020325058,Middle Eastern Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Kurry Qulture,40.76497824295583,-73.9171510586292,Indian Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Blend Astoria,40.76440209510661,-73.91575898494503,Latin American Restaurant,14110.0,54882.0
Astoria,Queens,40.76850859335492,-73.91565374304234,Queens Comfort,40.76464777461987,-73.91677540472237,Comfort Food Restaurant,14110.0,54882.0
