Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Wakefield,40.894705176609996,-73.84720052054901,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
Wakefield,40.894705176609996,-73.84720052054901,Rite Aid,40.896649,-73.8448461,Pharmacy
Wakefield,40.894705176609996,-73.84720052054901,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
Wakefield,40.894705176609996,-73.84720052054901,Cooler Runnings Jamaican Restaurant Inc,40.89827622104366,-73.85038105139019,Caribbean Restaurant
Wakefield,40.894705176609996,-73.84720052054901,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop
Wakefield,40.894705176609996,-73.84720052054901,Shell,40.894187118166535,-73.84586195733382,Gas Station
Wakefield,40.894705176609996,-73.84720052054901,SUBWAY,40.89065631618457,-73.84919159087512,Sandwich Place
Wakefield,40.894705176609996,-73.84720052054901,Baychester Avenue Food Truck,40.892293193824266,-73.84323016854879,Food Truck
Wakefield,40.894705176609996,-73.84720052054901,Koss Quick Wash,40.891147,-73.85023,Laundromat
Co-op City,40.87429419303012,-73.829939108124,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
Co-op City,40.87429419303012,-73.829939108124,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store
Co-op City,40.87429419303012,-73.829939108124,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy
Co-op City,40.87429419303012,-73.829939108124,Baskin Robbins,40.87004451117903,-73.8295779479274,Ice Cream Shop
Co-op City,40.87429419303012,-73.829939108124,Arby's,40.87051762174326,-73.82865691534425,Fast Food Restaurant
Co-op City,40.87429419303012,-73.829939108124,Food Universe Marketplace,40.87673987981054,-73.82898048976519,Grocery Store
Co-op City,40.87429419303012,-73.829939108124,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
Co-op City,40.87429419303012,-73.829939108124,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field
Co-op City,40.87429419303012,-73.829939108124,Guang Hui Chinese Restaurant,40.87660292677318,-73.82971005218339,Chinese Restaurant
Co-op City,40.87429419303012,-73.829939108124,Pure Romance Parties By Amy,40.87679203333333,-73.83047571666667,Gift Shop
Co-op City,40.87429419303012,-73.829939108124,MTA MaBSTOA Bus Bx23 / Bx26 / Bx28 / Q50 at Asch Loop / alcott Place,40.871387402235094,-73.830646276474,Bus Station
Co-op City,40.87429419303012,-73.829939108124,Section 4 Basketball Courts (Co Op City),40.87234472163489,-73.82658004760742,Basketball Court
Co-op City,40.87429419303012,-73.829939108124,The Park,40.87764512391663,-73.83083580661068,Park
Co-op City,40.87429419303012,-73.829939108124,MTA MaBSTOA Bus Bx23 / Bx30 / Bx38 / Q50 at Donizetti Place & Baychester Ave (Section 1),40.87618793183889,-73.833838139328,Bus Station
Co-op City,40.87429419303012,-73.829939108124,Seven Seas,40.870164362171,-73.82890593795487,Restaurant
